srcport,srcipv4,rawmsghostname,rawmsghostipv4,rawmsg,protocol,program,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,foreigninterface,dstport,direction,class,category,action,_eventid,__metadata__,srcisp,srcusagetype,meta_cbname,dstipv4,dstisp,dstusagetype,localinterface,connectionid,dstcountry,dstcountrycode,dstcity,dstdomain,dstlatitude,dstlongitude,dstregion,msg,srccountry,srccountrycode,srccity,srcdomain,srclatitude,srclongitude,srcregion,count,aclname,reason,duration,bytes,srchost,accessgroup,dsthost,type,group,srcmac,interface
53,172.21.14.28,172.20.43.250,127.0.0.1,: %ASA-6-302016: Teardown UDP connection 22157270 for WAN:172.21.14.28/53 to inside:172.20.42.104/63834 duration 0:02:02 bytes 104,udp,%ASA-6-302016,vpn,2017-05-09T03:00:50.231Z,514,172.20.43.250,cisco_asa-913359970,156,<166>May 09 2017 03:00:50,316033385,0,0.0.0.0/514/udp,2afe-12d64969,11006,inside,63834, ,cisco_asa,connection,teardown,42de5aa5-b7a9-48ef-9a11-38a850d4b431#947,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#947"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":946,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11006,172.20.42.104,private ip address lan,rsv,wan,22157270, , , , , , , , , , , , , , , , , , ,122,104, , , , , , , 
62730,172.20.32.167,172.20.33.250,127.0.0.1,: %ASA-6-302015: Built outbound UDP connection 13835232 for WAN:172.20.14.26/53 (172.20.14.26/53) to inside:172.20.32.167/62730 (172.20.32.167/62730),udp,%ASA-6-302015,vpn,2017-05-09T03:00:50.284Z,514,172.20.33.250,cisco_asa-375397979,175,<166>May 09 2017 03:00:50,2684075745,0,0.0.0.0/514/udp,2b00-9ffbbee1,11008,wan,53,outbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#960,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#960"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":959,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11008,172.20.14.26,private ip address lan,rsv,inside, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0,172.20.33.6,172.20.33.250,127.0.0.1,: %ASA-6-302020: Built inbound ICMP connection for faddr 172.20.33.6/0 gaddr 172.20.32.167/0 laddr 172.20.32.167/0,icmp,%ASA-6-302020,firewall,2017-05-09T03:00:50.286Z,514,172.20.33.250,cisco_asa-2902765419,140,<166>May 09 2017 03:00:50,2684075747,0,0.0.0.0/514/udp,2b00-9ffbbee3,11008,172.20.32.167,0,inbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#961,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#961"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":960,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11008, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0,209.223.212.244,172.20.51.250,127.0.0.1,: %ASA-6-302020: Built outbound ICMP connection for faddr 209.223.212.244/0 gaddr 196.35.116.210/58006 laddr 196.35.116.210/58006,icmp,%ASA-6-302020,firewall,2017-05-09T03:00:49.917Z,514,172.20.51.250,cisco_asa-2902765419,155,<166>May 09 2017 05:00:49,267213134,0,0.0.0.0/514/udp,2b02-fed594e,11010,196.35.116.210,58006,outbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#962,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#962"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":961,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",ivci,com,11010, , , , , , , , , , , , , ,united states,us,sterling,ivci.com,38.99770736694336,-77.43318176269531,virginia, , , , , , , , , , , , 
0,209.223.212.244,172.20.51.250,127.0.0.1,: %ASA-6-302020: Built outbound ICMP connection for faddr 209.223.212.244/0 gaddr 196.35.116.210/58011 laddr 196.35.116.210/58011,icmp,%ASA-6-302020,firewall,2017-05-09T03:00:50.016Z,514,172.20.51.250,cisco_asa-2902765419,155,<166>May 09 2017 05:00:49,267213140,0,0.0.0.0/514/udp,2b02-fed5954,11010,196.35.116.210,58011,outbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#964,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#964"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":963,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",ivci,com,11010, , , , , , , , , , , , , ,united states,us,sterling,ivci.com,38.99770736694336,-77.43318176269531,virginia, , , , , , , , , , , , 
0,209.223.212.244,172.20.51.250,127.0.0.1,: %ASA-6-302021: Teardown ICMP connection for faddr 209.223.212.244/0 gaddr 196.35.116.210/58008 laddr 196.35.116.210/58008,icmp,%ASA-6-302021,firewall,2017-05-09T03:00:50.205Z,514,172.20.51.250,cisco_asa-2914843190,149,<166>May 09 2017 05:00:50,267213148,0,0.0.0.0/514/udp,2b02-fed595c,11010, ,58008, ,cisco_asa,connection,teardown,42de5aa5-b7a9-48ef-9a11-38a850d4b431#966,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#966"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":965,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",ivci,com,11010,196.35.116.210,internet solutions,isp, , ,south africa,za,johannesburg,is.co.za,-26.2022705078125,28.043630599975586,gauteng, ,united states,us,sterling,ivci.com,38.99770736694336,-77.43318176269531,virginia, , , , , , , , , , , , 
 ,172.21.215.195,172.21.15.12,127.0.0.1,: %ASA-1-106021: Deny UDP reverse path check from 172.21.215.195 to 224.0.0.252 on interface outside,udp,%ASA-1-106021,firewall,2017-05-09T03:00:50.539Z,514,172.21.15.12,cisco_asa-960848156,126,<161>May 08 2017 23:00:50,28080652552,1,0.0.0.0/514/udp,2b03-689bcc108,11011, , , ,cisco_asa, ,deny,42de5aa5-b7a9-48ef-9a11-38a850d4b431#983,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#983"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":982,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,224.0.0.252,multicast,rsv,outside, , , , , , , , ,reverse path check, , , , , , , , , , , , , , , , , , , 
57410,172.21.18.13,172.20.49.250,127.0.0.1,: %ASA-6-302013: Built inbound TCP connection 26004098 for WAN:172.21.18.13/57410 (172.21.18.13/57410) to inside:172.20.48.131/2144 (172.20.48.131/2144),tcp,%ASA-6-302013,vpn,2017-05-09T03:00:57.468Z,514,172.20.49.250,cisco_asa-4006064005,178,<166>May 09 2017 03:00:57,4087043221,0,0.0.0.0/514/udp,2b01-f39b5495,11009,inside,2144,inbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#1078,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#1078"",""num_events"":2789,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1077,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11009,172.20.48.131,private ip address lan,rsv,wan,26004098, , , , , , , , , , , , , , , , , , , , , , , , , , , 
443,34.195.92.116,172.20.47.250,127.0.0.1,: %ASA-6-434004: SFR requested ASA to bypass further packet redirection and process TCP flow from outside2:34.195.92.116/443 to inside:41.209.17.90/54949 locally, ,%ASA-6-434004,firewall,2017-05-09T03:00:57.328Z,514,172.20.47.250,cisco_asa-2584709249,187,<166>May 09 2017 03:00:57,4371966485,0,0.0.0.0/514/udp,2aff-10496ea15,11007,inside,54949, ,cisco_asa, , ,42de5aa5-b7a9-48ef-9a11-38a850d4b431#1079,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#1079"",""num_events"":2789,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1078,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",amazon technologies inc.,dch,11007,41.209.17.90,uunet kenya,com,outside2, ,kenya,ke,nairobi,mtnbusiness.co.ke,-1.283329963684082,36.81666946411133,nairobi city,sfr requested asa to bypass further packet redirection and process tcp flow,united states,us,ashburn,amazon.com,39.04372024536133,-77.48748779296875,virginia, , , , , , , , , , , , 
57418,172.21.18.13,172.20.49.250,127.0.0.1,: %ASA-6-302013: Built inbound TCP connection 26004105 for WAN:172.21.18.13/57418 (172.21.18.13/57418) to inside:172.20.48.131/2144 (172.20.48.131/2144),tcp,%ASA-6-302013,vpn,2017-05-09T03:00:58.074Z,514,172.20.49.250,cisco_asa-4006064005,178,<166>May 09 2017 03:00:58,4087043236,0,0.0.0.0/514/udp,2b01-f39b54a4,11009,inside,2144,inbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#1083,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#1083"",""num_events"":2789,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1082,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11009,172.20.48.131,private ip address lan,rsv,wan,26004105, , , , , , , , , , , , , , , , , , , , , , , , , , , 
54272,172.20.44.129,172.20.45.250,127.0.0.1,: %ASA-6-106015: Deny TCP (no connection) from 172.20.44.129/54272 to 117.102.117.219/443 flags FIN ACK  on interface inside,tcp,%ASA-6-106015,vpn,2017-05-09T03:00:58.398Z,514,172.20.45.250,cisco_asa-140378235,150,<166>May 09 2017 03:00:58,6469229895,0,0.0.0.0/514/udp,2afd-181989d47,11005, ,443, ,cisco_asa, ,deny,42de5aa5-b7a9-48ef-9a11-38a850d4b431#1085,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#1085"",""num_events"":2789,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1084,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11005,117.102.117.219,google cache,com,inside, ,indonesia,id,jakarta,biz.net.id,-6.214620113372803,106.84513092041016,jakarta raya, , , , , , , , , , , , , , , , , , , , 
0, ,172.20.41.250,127.0.0.1,: %ASA-6-110003: Routing failed to locate next hop for icmp from NP Identity Ifc:62.68.238.10/0 to outside1:8.8.8.8/0,icmp,%ASA-6-110003,firewall,2017-05-09T03:00:58.647Z,514,172.20.41.250,cisco_asa-530932775,143,<166>May 09 2017 03:00:58,211998921,0,0.0.0.0/514/udp,2afc-ca2d8c9,11004,outside1,0, ,cisco_asa, , ,42de5aa5-b7a9-48ef-9a11-38a850d4b431#1087,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#1087"",""num_events"":2789,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1086,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , ,11004,8.8.8.8,google inc.,ses,np identity ifc, ,united states,us,mountain view,google.com,37.40599060058594,-122.0785140991211,california,routing failed to locate next hop, , , , , , , , , , , , ,62.68.238.10, , , , , , 
443,172.21.19.26,172.20.49.250,127.0.0.1,: %ASA-6-434004: SFR requested ASA to bypass further packet redirection and process TCP flow from WAN:172.21.19.26/443 to inside:172.20.48.154/61371 locally, ,%ASA-6-434004,firewall,2017-05-09T03:01:00.470Z,514,172.20.49.250,cisco_asa-2584709249,182,<166>May 09 2017 03:01:00,4087043272,0,0.0.0.0/514/udp,2b01-f39b54c8,11009,inside,61371, ,cisco_asa, , ,42de5aa5-b7a9-48ef-9a11-38a850d4b431#1096,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#1096"",""num_events"":2789,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1095,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11009,172.20.48.154,private ip address lan,rsv,wan, , , , , , , , ,sfr requested asa to bypass further packet redirection and process tcp flow, , , , , , , , , , , , , , , , , , , 
61349,172.20.36.22,172.20.37.250,127.0.0.1,: %ASA-6-305012: Teardown dynamic TCP translation from inside:172.20.36.22/61349 to outside2:177.43.177.18/61349 duration 0:00:31,tcp,%ASA-6-305012,firewall,2017-05-09T03:01:00.583Z,514,172.20.37.250,cisco_asa-854049557,155,<166>May 09 2017 01:01:00,6523155909,0,0.0.0.0/514/udp,2af9-184cf75c5,11001,outside2,61349,dynamic,cisco_asa,translation,teardown,42de5aa5-b7a9-48ef-9a11-38a850d4b431#1097,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#1097"",""num_events"":2789,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1096,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11001,177.43.177.18,fundacao GlobalComm the global com,com,inside, ,brazil,br,rio de janeiro,gvt.net.br,-22.902780532836914,-43.20750045776367,rio de janeiro, , , , , , , , , , , ,31, , , , , , , , 
61355,172.20.36.22,172.20.37.250,127.0.0.1,: %ASA-6-305011: Built dynamic TCP translation from inside:172.20.36.22/61355 to outside2:177.43.177.18/61355,tcp,%ASA-6-305011,firewall,2017-05-09T03:01:00.432Z,514,172.20.37.250,cisco_asa-1566950457,135,<166>May 09 2017 01:01:00,6523155898,0,0.0.0.0/514/udp,2af9-184cf75ba,11001,outside2,61355,dynamic,cisco_asa,translation,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#1107,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#1107"",""num_events"":2789,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1106,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11001,177.43.177.18,fundacao GlobalComm the global com,com,inside, ,brazil,br,rio de janeiro,gvt.net.br,-22.902780532836914,-43.20750045776367,rio de janeiro, , , , , , , , , , , , , , , , , , , , 
