username,threshold,srcipv4,size,rawmsghostname,rawmsghostipv4,rawmsg,program,msg,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,group,class,_eventid,__metadata__,srccountry,srccountrycode,srccity,srcdomain,srcisp,srclatitude,srclongitude,srcregion,srcusagetype,meta_cbname,length,eventid,description,protocol,dstipv4,action,dstcountry,dstcountrycode,dstcity,dstdomain,dstisp,dstlatitude,dstlongitude,dstregion,dstusagetype,reason,rateval,ratemax,rateid,rateavg,policy,count,ipv4,interface,number,duration,sentpackets,sentbytes,peer,srcport,localinterface,dstport,rcvdpackets,rcvdbytes
 , ,104.214.68.55, ,172.21.15.12,127.0.0.1,": %ASA-7-713236: IP = 104.214.68.55, IKE_DECODE SENDING Message (msgid=0) with payloads : HDR + ID (5) + HASH (8) + VENDOR (13) + NONE (0) total length : 84",%ASA-7-713236,ike_decode sending message with payloads : hdr + id (5) + hash (8) + vendor (13) + none (0),"firewall,ids",2017-05-08T15:10:50.612Z,514,172.21.15.12,cisco_asa_threat_detection-2169620772,182,<167>May 08 2017 11:10:50,28066530072,1,0.0.0.0/514/udp,2b03-688e54318,11011, ,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#499,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#499"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":498,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,san antonio,microsoft.com,microsoft corporation,29.42411994934082,-98.4936294555664,texas,ses,11011,84,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,104.214.68.55, ,172.21.15.12,127.0.0.1,": %ASA-7-714003: IP = 104.214.68.55, IKE Responder starting QM: msg id = 00000001",%ASA-7-714003,ike responder starting qm,"firewall,ids",2017-05-08T15:10:50.648Z,514,172.21.15.12,cisco_asa_threat_detection-3753830271,107,<167>May 08 2017 11:10:50,28066530125,1,0.0.0.0/514/udp,2b03-688e5434d,11011, ,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#504,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#504"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":503,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,san antonio,microsoft.com,microsoft corporation,29.42411994934082,-98.4936294555664,texas,ses,11011, ,00000001, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,104.214.68.55, ,172.21.15.12,127.0.0.1,": %ASA-7-715006: Group = 104.214.68.55, IP = 104.214.68.55, IKE got SPI from key engine: SPI = 0x089cc581",%ASA-7-715006,ike got spi from key engine,"firewall,ids",2017-05-08T15:10:50.656Z,514,172.21.15.12,cisco_asa_threat_detection-4194475616,131,<167>May 08 2017 11:10:50,28066530440,1,0.0.0.0/514/udp,2b03-688e54488,11011,104.214.68.55,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#528,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#528"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":527,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,san antonio,microsoft.com,microsoft corporation,29.42411994934082,-98.4936294555664,texas,ses,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,104.214.68.55, ,172.21.15.12,127.0.0.1,": %ASA-7-715006: Group = 104.214.68.55, IP = 104.214.68.55, IKE got SPI from key engine: SPI = 0x52b54be6",%ASA-7-715006,ike got spi from key engine,"firewall,ids",2017-05-08T15:10:50.656Z,514,172.21.15.12,cisco_asa_threat_detection-4194475616,131,<167>May 08 2017 11:10:50,28066530441,1,0.0.0.0/514/udp,2b03-688e54489,11011,104.214.68.55,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#529,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#529"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":528,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,san antonio,microsoft.com,microsoft corporation,29.42411994934082,-98.4936294555664,texas,ses,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,104.214.68.55, ,172.21.15.12,127.0.0.1,": %ASA-7-713225: Group = 104.214.68.55, IP = 104.214.68.55, Static Crypto Map check, map MindSpring, seq = 18 is a successful match",%ASA-7-713225,static crypto map check,"firewall,ids",2017-05-08T15:10:50.657Z,514,172.21.15.12,cisco_asa_threat_detection-3552148206,157,<167>May 08 2017 11:10:50,28066530481,1,0.0.0.0/514/udp,2b03-688e544b1,11011,104.214.68.55,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#556,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#556"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":555,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,san antonio,microsoft.com,microsoft corporation,29.42411994934082,-98.4936294555664,texas,ses,11011, , ,"map mindspring, seq = 18 is a successful match", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:10:52.515Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:10:52,28066534183,1,0.0.0.0/514/udp,2b03-688e55327,11011,global.com,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#2524,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#2524"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2523,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,66.171.66.14, ,172.21.15.12,127.0.0.1,": %ASA-7-713236: IP = 66.171.66.14, IKE_DECODE SENDING Message (msgid=40b1edc8) with payloads : HDR + HASH (8) + NOTIFY (11) + NONE (0) total length : 84",%ASA-7-713236,ike_decode sending message with payloads : hdr + hash (8) + notify (11) + none (0),"firewall,ids",2017-05-08T15:14:56.604Z,514,172.21.15.12,cisco_asa_threat_detection-2169620772,179,<167>May 08 2017 11:14:56,28066962268,1,0.0.0.0/514/udp,2b03-688ebdb5c,11011, ,cisco_asa_threat_detection,9c86e9d8-642c-499f-8b05-5af301d2d113#359,"{""id"":""9c86e9d8-642c-499f-8b05-5af301d2d113#359"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""9c86e9d8-642c-499f-8b05-5af301d2d113"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":358,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,commack,invision.com,invision.com inc.,40.84149169921875,-73.28043365478516,new york,dch,11011,84,40b1edc8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:22:02.997Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:22:02,28067635828,1,0.0.0.0/514/udp,2b03-688f62274,11011,global.com,cisco_asa_threat_detection,9c86e9d8-642c-499f-8b05-5af301d2d113#633,"{""id"":""9c86e9d8-642c-499f-8b05-5af301d2d113#633"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""9c86e9d8-642c-499f-8b05-5af301d2d113"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":632,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,66.171.66.14, ,172.21.15.12,127.0.0.1,": %ASA-7-713236: IP = 66.171.66.14, IKE_DECODE SENDING Message (msgid=45d08f0d) with payloads : HDR + HASH (8) + NOTIFY (11) + NONE (0) total length : 84",%ASA-7-713236,ike_decode sending message with payloads : hdr + hash (8) + notify (11) + none (0),"firewall,ids",2017-05-08T15:20:17.455Z,514,172.21.15.12,cisco_asa_threat_detection-2169620772,179,<167>May 08 2017 11:20:17,28067456777,1,0.0.0.0/514/udp,2b03-688f36709,11011, ,cisco_asa_threat_detection,9c86e9d8-642c-499f-8b05-5af301d2d113#1305,"{""id"":""9c86e9d8-642c-499f-8b05-5af301d2d113#1305"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""9c86e9d8-642c-499f-8b05-5af301d2d113"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1304,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,commack,invision.com,invision.com inc.,40.84149169921875,-73.28043365478516,new york,dch,11011,84,45d08f0d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,104.196.23.117, ,172.21.15.12,127.0.0.1,": %ASA-7-713236: IP = 104.196.23.117, IKE_DECODE SENDING Message (msgid=2e259859) with payloads : HDR + HASH (8) + NOTIFY (11) + NONE (0) total length : 84",%ASA-7-713236,ike_decode sending message with payloads : hdr + hash (8) + notify (11) + none (0),"firewall,ids",2017-05-08T15:20:19.030Z,514,172.21.15.12,cisco_asa_threat_detection-2169620772,181,<167>May 08 2017 11:20:18,28067459509,1,0.0.0.0/514/udp,2b03-688f371b5,11011, ,cisco_asa_threat_detection,668e0049-b59f-4254-bcb9-90e897fc1846#30,"{""id"":""668e0049-b59f-4254-bcb9-90e897fc1846#30"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""668e0049-b59f-4254-bcb9-90e897fc1846"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":29,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,mountain view,google.com,google inc.,37.40599060058594,-122.0785140991211,california,ses,11011,84,2e259859, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:25:09.600Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:25:09,28068006003,1,0.0.0.0/514/udp,2b03-688fbc873,11011,global.com,cisco_asa_threat_detection,179660e2-d0bb-4f9f-b2e9-6f4699a97887#2275,"{""id"":""179660e2-d0bb-4f9f-b2e9-6f4699a97887#2275"",""num_events"":2954,""data_type"":""passthrough"",""batch_id"":""179660e2-d0bb-4f9f-b2e9-6f4699a97887"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2274,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:23:52.990Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:23:52,28067835970,1,0.0.0.0/514/udp,2b03-688f93042,11011,global.com,cisco_asa_threat_detection,668e0049-b59f-4254-bcb9-90e897fc1846#2801,"{""id"":""668e0049-b59f-4254-bcb9-90e897fc1846#2801"",""num_events"":2990,""data_type"":""passthrough"",""batch_id"":""668e0049-b59f-4254-bcb9-90e897fc1846"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2800,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:25:05.017Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:25:04,28067997142,1,0.0.0.0/514/udp,2b03-688fba5d6,11011,global.com,cisco_asa_threat_detection,2e506dcc-6144-4476-976c-8a21b0609614#798,"{""id"":""2e506dcc-6144-4476-976c-8a21b0609614#798"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""2e506dcc-6144-4476-976c-8a21b0609614"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":797,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:12:31.668Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:12:31,28066708724,1,0.0.0.0/514/udp,2b03-688e7fcf4,11011,global.com,cisco_asa_threat_detection,2e506dcc-6144-4476-976c-8a21b0609614#1892,"{""id"":""2e506dcc-6144-4476-976c-8a21b0609614#1892"",""num_events"":2970,""data_type"":""passthrough"",""batch_id"":""2e506dcc-6144-4476-976c-8a21b0609614"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1891,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
